GEOID,ptg_owner_unit_resident,ptg_renter_unit_resident,ptg_race_white,ptg_race_black,pop_density_perSqkm,household_w_car,rate_w_car,household_w_car_2017,rate_w_car_2017,communte_by_car_by_household
36061001401,0.7674791533033997,0.2325208466966004,0.7140600315955766,0.0303317535545023,33848.45730174857,581,0.35254854368932037,605,0.37647790914747975,0.022014676450967312
36061001402,0.1068111455108359,0.8931888544891641,0.349969567863664,0.0760803408399269,28844.80337078652,253,0.14598961338718985,166,0.1191672648959081,0.044671689989235736
36061001501,0.62342745317305,0.3765725468269499,0.5325735008418598,0.072918015801062,28510.553446671493,890,0.26823387582881253,963,0.2575554961219577,0.043478260869565216
36061001502,0.1283018867924528,0.8716981132075472,0.6553403687811666,0.0223820016235648,41299.079475463855,485,0.11832154183947305,573,0.18277511961722487,0.0
36061001600,0.1764316012725344,0.8235683987274656,0.2441709844559585,0.0182642487046632,37226.16826035172,579,0.1643485665625887,362,0.12626438786187652,0.06
36061001800,0.1093232371036441,0.8906767628963559,0.3769430051813471,0.0582901554404145,31161.98130639924,352,0.11447154471544715,444,0.14099714194982535,0.06432105552501374
36061002000,0.022027373823781,0.9779726261762188,0.1554702495201535,0.1836212412028151,37132.06471384791,268,0.1326076199901039,142,0.07096451774112944,0.07659574468085106
36061002100,0.4573795815194495,0.5426204184805505,0.7411683848797251,0.0650171821305841,30666.57111904531,686,0.21743264659270997,871,0.3130841121495327,0.017901096442157084
36061002201,0.101857490864799,0.898142509135201,0.3220213396561944,0.19665085951393,41739.86193928297,720,0.23825281270681667,485,0.16033057851239668,0.08350877192982456
36061002202,0.0857265323617659,0.914273467638234,0.5950019833399445,0.1047203490678302,44931.2041063663,179,0.17344961240310078,185,0.16400709219858156,0.042491268917345754
36061002400,0.0,1.0,0.0816515889584783,0.2233820459290187,23643.03460076671,380,0.20685900925421882,159,0.0846194784459819,0.057942057942057944
36061002500,0.0,1.0,0.109453700116234,0.3479271600154979,39249.678748754915,214,0.10808080808080808,242,0.11523809523809524,0.1262580054894785
36061002601,0.1285408236134253,0.8714591763865747,0.3138066202090592,0.1598432055749128,43301.55497090912,255,0.12950736414423566,287,0.1836212412028151,0.03922683342808414
36061002602,0.2270460545614549,0.772953945438545,0.6109581497797357,0.0795704845814977,35027.48577490597,420,0.2275189599133261,499,0.24117931367810536,0.008652094717668488
36061002700,0.6818181818181818,0.3181818181818182,0.2053200332502078,0.0008312551953449,20292.83762356196,134,0.21753246753246752,193,0.30250783699059564,0.05011389521640091
36061002800,0.2353036437246963,0.7646963562753036,0.3823067253299811,0.0531112507856693,34657.40145730996,712,0.2275487376158517,794,0.2320958783981292,0.12667834208990075
36061003001,0.0714473338586813,0.9285526661413186,0.609100310237849,0.0910031023784901,31155.859846959323,339,0.15080071174377224,285,0.12326989619377163,0.056764106050305914
36061003002,0.0787297386701951,0.9212702613298048,0.5711952971913782,0.0659699542782495,38990.47522029236,197,0.1142691415313225,242,0.1373439273552781,0.04537719795802609
36061003100,0.3057324840764331,0.6942675159235668,0.4870641169853768,0.1169853768278965,13011.723724075347,99,0.13561643835616438,138,0.18473895582329317,0.1462715105162524
36061003200,0.2766473521088802,0.7233526478911197,0.7974212415259869,0.027515618769108,34559.586920370086,1024,0.22260869565217392,945,0.21023359288097887,0.07441253263707572
36061003300,0.4934164934164934,0.5065835065835066,0.7969587005356834,0.0122688785208225,16937.048733160264,987,0.37888675623800383,775,0.3080286168521463,0.056663775657704536
36061003400,0.2134542705971277,0.7865457294028723,0.6571385587483075,0.0394162780201594,41477.1273641713,820,0.21878335112059766,338,0.09117885082276773,0.0
36061003601,0.2251420454545454,0.7748579545454546,0.389530931339225,0.0693405846363018,29475.413777902457,244,0.16781292984869325,246,0.1671195652173913,0.03955901426718547
36061003602,0.1856045289122523,0.8143954710877477,0.6597242593135817,0.1144030507480199,38298.63724708182,157,0.10702113156100886,305,0.2340752110514198,0.0457280385078219
36061003700,0.4652213188798554,0.5347786811201445,0.6754437869822485,0.0112426035502958,8816.341009810136,478,0.2612021857923497,375,0.26558073654390935,0.03819742489270386
36061003800,0.0823124042879019,0.917687595712098,0.6265398219295036,0.0937919258446152,40514.89845332806,442,0.09438394191757421,935,0.18592165440445416,0.012872905598692277
36061003900,0.4398073836276083,0.5601926163723917,0.6465753424657534,0.0337418889689978,20947.168432148996,1523,0.4925614489003881,982,0.3946945337620579,0.05544383797759265
36061004100,0.0799035127393336,0.9200964872606664,0.5271592681889093,0.0209899305063111,36862.57698219346,591,0.18112166717744407,529,0.15045506257110353,0.02095647501343364
36061004200,0.4673242909987669,0.5326757090012331,0.5481594506961663,0.0669464047301163,61273.6218401954,269,0.1735483870967742,175,0.1133419689119171,0.039203860072376355
36061004300,0.1144664941041127,0.8855335058958873,0.5990269032627361,0.0211791642816256,23412.110775333524,186,0.08115183246073299,411,0.1775377969762419,0.04848754448398576
36061004400,0.0,1.0,0.769645656945751,0.0331765443712762,38889.10568471167,2212,0.2694603483980996,2293,0.2852344819007339,0.044720628850647974
36061004500,0.4615384615384615,0.5384615384615384,0.731647634584013,0.0220228384991843,11681.97583565194,178,0.363265306122449,113,0.2627906976744186,0.04674457429048414
36061004700,0.32843737250102,0.67156262749898,0.7980535279805353,0.0,14907.508161044612,260,0.17173051519154559,235,0.19059205190592052,0.06896551724137931
36061004800,0.6110889509373754,0.3889110490626246,0.6985810073288633,0.0428816466552315,36486.84015885118,657,0.23599137931034483,740,0.22896039603960397,0.028148578061520605
36061004900,0.3543769068293828,0.6456230931706173,0.8390006939625261,0.0080962294702752,20852.02442624374,680,0.27709861450692747,541,0.22108704536166734,0.028495692511597084
36061005000,0.5591169603056676,0.4408830396943324,0.7377350776778414,0.0149223221586263,29387.029338972057,558,0.20261437908496732,670,0.23434767401189227,0.017915309446254073
36061005200,0.6380697050938338,0.3619302949061662,0.6681585677749361,0.0425191815856777,18520.60180114037,374,0.30985915492957744,472,0.3152972611890448,0.049204052098408106
36061005400,0.562069731290251,0.437930268709749,0.7294716740929345,0.0362826225334182,28060.419507141625,781,0.2845173041894353,559,0.21190295678544352,0.03011844331641286
36061005501,0.2616844053678852,0.7383155946321147,0.5742931622217766,0.0549428514136755,40073.28420934213,696,0.36325678496868474,551,0.26126126126126126,0.018860016764459347
36061005502,0.3196814562002275,0.6803185437997725,0.6637122002085506,0.0276329509906152,16608.073705903746,301,0.2694717994628469,263,0.2550921435499515,0.0
36061005600,0.4740242956836392,0.5259757043163609,0.5994443158138458,0.062746006019912,24761.35875017916,394,0.16368923971749066,478,0.26778711484593837,0.12532299741602068
